Holes,Strengths
AKs,0.66993
AQs,0.66145
AJs,0.65418
ATs,0.6457
A9s,0.62834
A8s,0.6187
A7s,0.60947
A6s,0.60033
A5s,0.59963
A4s,0.58992
A3s,0.58466
A2s,0.57302
KQs,0.63317
KJs,0.62571
KTs,0.61886
K9s,0.60073
K8s,0.58197
K7s,0.5749
K6s,0.56534
K5s,0.55833
K4s,0.54987
K3s,0.54089
K2s,0.52984
QJs,0.60354
QTs,0.5951
Q9s,0.5763
Q8s,0.56034
Q7s,0.54415
Q6s,0.53442
Q5s,0.52766
Q4s,0.51953
Q3s,0.51016
Q2s,0.50226
JTs,0.57646
J9s,0.55744
J8s,0.54028
J7s,0.52217
J6s,0.50708
J5s,0.49994
J4s,0.49127
J3s,0.48223
J2s,0.47421
T9s,0.5409
T8s,0.52321
T7s,0.5053
T6s,0.48783
T5s,0.47256
T4s,0.46507
T3s,0.45768
T2s,0.4487
98s,0.50818
97s,0.49017
96s,0.47439
95s,0.45867
94s,0.43717
93s,0.43308
92s,0.42366
87s,0.47897
86s,0.46173
85s,0.44671
84s,0.42673
83s,0.40868
82s,0.40355
76s,0.45335
75s,0.43591
74s,0.41858
73s,0.4017
72s,0.37986
65s,0.43209
64s,0.41371
63s,0.39738
62s,0.3762
54s,0.41333
53s,0.39694
52s,0.37734
43s,0.38611
42s,0.3679
32s,0.35926
AKo,0.65174
AQo,0.64383
AJo,0.63489
ATo,0.62803
A9o,0.60786
A8o,0.5974
A7o,0.58878
A6o,0.5765
A5o,0.57624
A4o,0.56668
A3o,0.55976
A2o,0.55002
KQo,0.61626
KJo,0.60585
KTo,0.59674
K9o,0.57797
K8o,0.56004
K7o,0.55198
K6o,0.54229
K5o,0.53234
K4o,0.52205
K3o,0.51538
K2o,0.50519
QJo,0.58148
QTo,0.57263
Q9o,0.55349
Q8o,0.53498
Q7o,0.51764
Q6o,0.50966
Q5o,0.50196
Q4o,0.49233
Q3o,0.48084
Q2o,0.47423
JTo,0.55303
J9o,0.53334
J8o,0.51564
J7o,0.4956
J6o,0.47816
J5o,0.47223
J4o,0.46165
J3o,0.45166
J2o,0.44233
T9o,0.51463
T8o,0.49717
T7o,0.47979
T6o,0.46128
T5o,0.44355
T4o,0.43443
T3o,0.42621
T2o,0.41728
98o,0.48209
97o,0.46277
96o,0.44595
95o,0.42893
94o,0.40547
93o,0.40116
92o,0.3899
87o,0.45072
86o,0.43135
85o,0.41389
84o,0.39449
83o,0.37494
82o,0.36777
76o,0.42418
75o,0.40515
74o,0.38622
73o,0.3668
72o,0.34527
65o,0.39866
64o,0.38055
63o,0.35922
62o,0.33982
54o,0.38309
53o,0.36233
52o,0.3429
43o,0.35102
42o,0.33101
32o,0.32244
AAo,0.85221
KKo,0.82346
QQo,0.79855
JJo,0.7737
TTo,0.75088
99o,0.72047
88o,0.69058
77o,0.66255
66o,0.6319
55o,0.60444
44o,0.57062
33o,0.53797
22o,0.50246
